State,Year,Prices
US,1970,0.59
US,1971,0.63
US,1972,0.68
US,1973,0.73
US,1974,0.89
US,1975,1.18
US,1976,1.46
US,1977,1.76
US,1978,1.95
US,1979,2.31
US,1980,2.86
US,1981,3.43
US,1982,4.23
US,1983,4.72
US,1984,4.75
US,1985,4.61
US,1986,4.07
US,1987,3.77
US,1988,3.78
US,1989,3.82
US,1990,3.82
US,1991,3.74
US,1992,3.83
US,1993,4.1
US,1994,4.08
US,1995,3.73
US,1996,4.25
US,1997,4.53
US,1998,4.13
US,1999,4.16
US,2000,5.61
US,2001,6.87
US,2002,5.31
US,2003,7.08
US,2004,7.91
US,2005,9.92
US,2006,9.62
US,2007,9.31
US,2008,10.83
US,2009,7.67
US,2010,7.37
US,2011,7.03
US,2012,5.74
US,2013,6.44
US,2014,7.2
US,2015,5.61
US,2016,5.06
US,2017,5.73
